organization,soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
4,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer,5,69,0.5876914778224723,0.01300005981297288,0.4993660865291373,0.7057787796924525,1.308971139406012,1.7370342215355588
4,potassium_cmolkg,logTransform,int10CVrep10,SNV,18,69,0.5581067301132308,0.05653694941256959,0.5866976545309648,0.7593368999214546,1.3813957596066846,1.8331433258412286
4,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer,5,69,0.572928168569219,0.009098895073393011,0.5092364875695531,0.7130211935531183,1.3415913431253073,1.7803219675125934
4,potassium_cmolkg,logTransform,int10CVrep10,wavelet,5,69,0.5806934328305448,0.025693393045001012,0.5201990749230633,0.7199465421070275,1.324181528005158,1.7572187502269707
5,carbon_org_perc,logTransform,int10CVrep10,BOC,10,69,0.3650730071796343,0.006725260436113164,0.9066433970065194,0.9507412056464304,3.309702038516155,4.381344876016982
5,carbon_org_perc,logTransform,int10CVrep10,raw,12,69,0.39996991645266944,0.01281014713114535,0.8881249515984855,0.9400625956121784,3.0166439884992196,3.9933980545584307
5,carbon_org_perc,logTransform,int10CVrep10,SG1stDer,7,69,0.3394180041753448,-0.003519038377820815,0.9199021858722749,0.9572021845724924,3.5490940692426154,4.698249248367344
5,carbon_org_perc,logTransform,int10CVrep10,SNV,10,69,0.35381650468533576,0.015490571910507974,0.9124866118762642,0.9536463925750198,3.4143281991136853,4.519847764584206
5,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer,7,69,0.3362970504186931,-0.007328101632773121,0.9215477040217828,0.9580092482839887,3.5839306713540315,4.7443655350851435
5,carbon_org_perc,logTransform,int10CVrep10,wavelet,7,69,0.35732190304971667,-0.0031885629255001885,0.9113681535921104,0.9519223256556489,3.3737963622671985,4.466192192687913
5,clay_perc,withoutTransform,int10CVrep10,BOC,5,69,9.340913706917314,0.7392061131756733,0.4869750414274282,0.6936132777027343,1.2716446969935697,1.5527555865376401
5,clay_perc,withoutTransform,int10CVrep10,raw,5,69,8.771654747078035,0.7131164609852361,0.4973071183331938,0.6969260233697276,1.3550661482977424,1.6546182568699075
5,clay_perc,withoutTransform,int10CVrep10,SG1stDer,8,69,10.03817253397055,1.0589239112003466,0.5265045900294206,0.7076850908652027,1.1825212190171142,1.4439303945270252
5,clay_perc,withoutTransform,int10CVrep10,SNV,18,69,7.551289062881497,0.17851411790952404,0.6588429051081531,0.8062987549858806,1.5912185724694128,1.9429747425878847
5,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,8,69,8.87231130407982,0.6734428353623293,0.5546455382854748,0.7399220977071652,1.3329592243405377,1.6276243569567732
5,clay_perc,withoutTransform,int10CVrep10,wavelet,9,69,10.033145251617954,0.6214307561646357,0.4983737712612426,0.694389289594185,1.1821083633164309,1.4434262725838554
5,pH_H20,withoutTransform,int10CVrep10,BOC,5,70,0.558022242638587,-0.03622443690972831,0.7918663193694451,0.8881665548715798,2.186226510231201,3.4546215107130758
5,pH_H20,withoutTransform,int10CVrep10,raw,5,70,0.6007821259301417,-0.039983816741223144,0.7703637140400535,0.8769985231943257,2.0339637638292163,3.2140196533396974
5,pH_H20,withoutTransform,int10CVrep10,SG1stDer,9,70,0.5934599171693752,-0.04682454558924384,0.7913012856885763,0.8857861967316591,2.1046617190257426,3.325734828159126
5,pH_H20,withoutTransform,int10CVrep10,SNV,7,70,0.497883245735298,0.0028149859726183234,0.838420900468415,0.9148384141148264,2.4727248417308103,3.9073391473120793
5,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer,8,70,0.4528313671237943,-0.008727737340916173,0.861233731225987,0.9267997741669743,2.7107752891747614,4.283500625789338
5,pH_H20,withoutTransform,int10CVrep10,wavelet,17,70,0.5306632151018458,-0.03462281343289147,0.8264289794125639,0.9069544887196758,2.3312566437212445,3.683794570554578
5,potassium_cmolkg,logTransform,int10CVrep10,BOC,5,69,0.5454059646730554,-0.008414811454180552,0.5222432252013243,0.7185870145450799,1.4095604286221732,1.870518476786364
5,potassium_cmolkg,logTransform,int10CVrep10,raw,5,69,0.5578647551952474,-0.014469027598761708,0.5005081200759259,0.7025659618068828,1.3779065764599983,1.8285131011185125
5,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer,5,69,0.5403235488483078,-0.008557482658277162,0.5410747157957981,0.7337452003426828,1.4223292838972517,1.8874630356959754
5,potassium_cmolkg,logTransform,int10CVrep10,SNV,5,69,0.5872961297171684,-0.00846546956473241,0.4714969762263359,0.6848089849916497,1.3082444058364613,1.7360698296996768
5,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer,5,69,0.5539494633087069,-0.015176036753517298,0.5254152401670047,0.7235472828659407,1.3869243527903554,1.8404798936752165
5,potassium_cmolkg,logTransform,int10CVrep10,wavelet,5,69,0.5482135738890628,-0.006482434818008128,0.5294003178549523,0.7258858659904774,1.401654264566548,1.8600268187869928
6,carbon_org_perc,logTransform,int10CVrep10,BOC,5,69,0.46079329852262463,0.013342193259164553,0.8482796420791867,0.9203494424023891,2.548025029347766,3.442826683016553
6,carbon_org_perc,logTransform,int10CVrep10,raw,10,69,0.4254320584800545,0.033765169970571114,0.8747330657927094,0.9318747286159699,2.8441604061611763,3.76506630418351
6,carbon_org_perc,logTransform,int10CVrep10,SG1stDer,8,69,0.3284380806278471,0.004957766241106951,0.9264441632390937,0.9620519310995489,3.6908152915565426,4.885858146081403
6,carbon_org_perc,logTransform,int10CVrep10,SNV,9,69,0.3983696693690612,0.0408734586513233,0.890836826094455,0.9416458745427017,3.0453577774066183,4.0314090327179235
6,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer,7,69,0.34277704143695464,0.0036419267288612224,0.9193666092503939,0.9581358076496987,3.548700252286048,4.697727918083027
6,carbon_org_perc,logTransform,int10CVrep10,wavelet,7,69,0.3540990522957464,0.0043674454813718904,0.9156260213211013,0.9561056797855192,3.453848448150188,4.5721642083607055
6,clay_perc,withoutTransform,int10CVrep10,BOC,5,69,258.22233226005864,-30.68268020050734,0.08552866372918647,0.05070211861524985,0.17357969637381054,0.21434517651831977
